"Service","Method","Path","Endpoint"
"domains","GET","/domains/{domainID}/roles/{roleID}/actions","GET /domains/{domainID}/roles/{roleID}/actions"
"domains","POST","/domains/{domainID}/roles/{roleID}/actions","POST /domains/{domainID}/roles/{roleID}/actions"
"domains","POST","/domains/{domainID}/roles/{roleID}/actions/delete","POST /domains/{domainID}/roles/{roleID}/actions/delete"
"domains","POST","/domains/{domainID}/roles/{roleID}/actions/delete-all","POST /domains/{domainID}/roles/{roleID}/actions/delete-all"
"domains","GET","/domains/{domainID}/roles/{roleID}/members","GET /domains/{domainID}/roles/{roleID}/members"
"domains","POST","/domains/{domainID}/roles/{roleID}/members","POST /domains/{domainID}/roles/{roleID}/members"
"domains","POST","/domains/{domainID}/roles/{roleID}/members/delete","POST /domains/{domainID}/roles/{roleID}/members/delete"
"domains","POST","/domains/{domainID}/roles/{roleID}/members/delete-all","POST /domains/{domainID}/roles/{roleID}/members/delete-all"
"domains","GET","/domains/roles/available-actions","GET /domains/roles/available-actions"
"domains","GET","/health","GET /health"
"domains","GET","/invitations","GET /invitations"
"domains","POST","/invitations/accept","POST /invitations/accept"
"domains","POST","/invitations/reject","POST /invitations/reject"
"groups","GET","/{domainID}/groups","GET /{domainID}/groups"
"groups","POST","/{domainID}/groups","POST /{domainID}/groups"
"groups","DELETE","/{domainID}/groups/{groupID}","DELETE /{domainID}/groups/{groupID}"
"groups","GET","/{domainID}/groups/{groupID}","GET /{domainID}/groups/{groupID}"
"groups","PUT","/{domainID}/groups/{groupID}","PUT /{domainID}/groups/{groupID}"
"groups","DELETE","/{domainID}/groups/{groupID}/children","DELETE /{domainID}/groups/{groupID}/children"
"groups","GET","/{domainID}/groups/{groupID}/children","GET /{domainID}/groups/{groupID}/children"
"groups","POST","/{domainID}/groups/{groupID}/children","POST /{domainID}/groups/{groupID}/children"
"groups","DELETE","/{domainID}/groups/{groupID}/children/all","DELETE /{domainID}/groups/{groupID}/children/all"
"groups","POST","/{domainID}/groups/{groupID}/disable","POST /{domainID}/groups/{groupID}/disable"
